title,company,city,province,country,posting_time,skills
Fresh Grad'24 - Software Engineer,PakWheels.com,Lahore,Punjab,Pakistan,1/22/2024,"['html', 'css']"
Associate Software Engineer (Fresh Graduates),Mavericks United,Lahore,Punjab,Pakistan,5/9/2024,"['python', 'flask', 'django', 'vue.js', 'express.js', 'node.js', 'react', 'angular']"
Python Developer,Integriti,Lahore,Punjab,Pakistan,4/16/2024,"['python', 'django', 'postgresql', 'css', 'mysql', 'html', 'javascript']"
Software Engineer - PHP,Jeeny,Johar Town,Punjab,Pakistan,4/16/2024,"['mysql', 'mongodb']"
"Software Engineer, Back End",Tajir,Lahore,Punjab,Pakistan,4/3/2024,"['python', 'flask', 'sql', 'docker']"
Web Developer,Burq,Lahore,Punjab,Pakistan,4/25/2024,['javascript']
Trainee Software Developer,Contour Software,Lahore,Punjab,Pakistan,4/22/2024,['git']
Software Engineer - React JS,Dubizzle Labs,Lahore,Punjab,Pakistan,2/25/2024,"['jquery', 'javascript']"
Mobile Application Developer (Fresh),Dubizzle Labs,Lahore,Punjab,Pakistan,2/27/2024,[]
Associate Software Engineer,Dubizzle Labs,Lahore,Punjab,Pakistan,3/2/2024,['javascript']
Front-end Developer,Element 8,Lahore,Punjab,Pakistan,4/4/2024,"['html', 'css', 'javascript']"
Trainee Software Engineer - IS,INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,7/21/2023,[]
Back-end Developer,CadreSpace,Lahore,Punjab,Pakistan,4/24/2024,['python']
Front End Engineer,i2c Inc.,Lahore,Punjab,Pakistan,4/18/2024,"['bootstrap', 'css', 'jquery', 'laravel', 'sql', 'html', 'javascript', 'sass']"
"Software Engineer, Frontend",Vartana,Lahore,Punjab,Pakistan,8/23/2023,"['html', 'javascript', 'bootstrap', 'react']"
Backend Software Engineer,Burq,Lahore,Punjab,Pakistan,3/14/2024,"['python', 'sql', 'javascript']"
ReactJS Developer,Integriti,Lahore,Punjab,Pakistan,4/16/2024,['javascript']
"Software Engineer, Backend",Vartana,Lahore,Punjab,Pakistan,6/24/2023,"['sql', 'postgresql']"
Full Stack Developer,Avanceon Middle East & South Asia,Lahore,Punjab,Pakistan,11/7/2023,"['git', 'jquery', 'javascript']"
Software Engineer (Python),the ENTERTAINER,Lahore,Punjab,Pakistan,1/23/2024,"['python', 'aws', 'flask']"
Full Stack Web Developer,HR POD - Hiring Talent Globally,Lahore,Punjab,Pakistan,5/6/2024,[]
Full Stack Engineer,Altruistiq,Lahore,Punjab,Pakistan,2/7/2024,['sass']
Front End Developer (React + Figma),HireOn,Lahore,Punjab,Pakistan,5/4/2024,"['git', 'javascript', 'react']"
"Software Engineer, Android",Tajir,Lahore,Punjab,Pakistan,4/3/2024,"['python', 'flask', 'docker']"
Software Engineer (Java/Spring Boot),HR Ways - Hiring Tech Talent,Lahore,Punjab,Pakistan,4/16/2024,"['html', 'css', 'javascript']"
Software Test Engineer,PakWheels.com,Lahore,Punjab,Pakistan,3/19/2024,"['python', 'firebase', 'sql']"
Software Engineer - PHP,ibex,Lahore,Punjab,Pakistan,3/11/2024,['laravel']
Software Engineer (.Net Core),the ENTERTAINER,Lahore,Punjab,Pakistan,1/26/2024,['azure']
Software Engineer - PHP,Creative Chaos,Lahore,Punjab,Pakistan,1/10/2024,"['javascript', 'mysql', 'mongodb']"
Software Engineer (Android),Jeeny,Johar Town,Punjab,Pakistan,4/21/2024,[]
Software Engineer,CureMD,Lahore,Punjab,Pakistan,2/27/2024,"['html', 'css', 'sql']"
"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,Lahore,Punjab,Pakistan,6/21/2023,"['python', 'flask', 'django', 'postgresql', 'css', 'jquery', 'mysql']"
Software Engineer (JAVA),Code District,Lahore,Punjab,Pakistan,3/30/2024,['mysql']
Dot Net Developer,DevExcel,Lahore,Punjab,Pakistan,3/17/2024,['git']
Software Engineer,INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,2/13/2024,[]
Software Engineer - ReactJS/Flutter,Howmuch,Lahore,Punjab,Pakistan,5/11/2023,[]
Full Stack Developer (MERN),INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,4/16/2024,[]
".NET Developer (Remote, Pakistan)",HR POD - Hiring Talent Globally,Lahore,Punjab,Pakistan,3/30/2024,"['aws', 'azure', 'react']"
Software Back End Developer,ibex. Pakistan,Lahore,Punjab,Pakistan,5/9/2024,"['python', 'aws', 'postgresql', 'mysql', 'docker']"
Software Engineer - PHP,ibex,Lahore,Punjab,Pakistan,1/29/2024,['laravel']
Software Engineer - Laravel,Dubizzle Labs,Lahore,Punjab,Pakistan,2/26/2024,"['jquery', 'laravel', 'mysql', 'html', 'javascript']"
Junior React Software Engineer,Infāque,Lahore,Punjab,Pakistan,5/10/2024,[]
"Android/Kotlin Developer (Remote, Pakistan)",HR POD - Hiring Talent Globally,Lahore,Punjab,Pakistan,3/30/2024,[]
Full-Stack Software Engineer,INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,6/5/2023,[]
Full Stack Developer,Contour Software,Lahore,Punjab,Pakistan,4/22/2024,"['devops', 'azure', 'sql', 'jira']"
Software Engineer - Laravel,Sukuk Technologies,Lahore,Punjab,Pakistan,3/20/2024,"['jquery', 'javascript', 'mysql']"
Software Engineer - Product Operations,i2c Inc.,Lahore,Punjab,Pakistan,5/6/2024,"['sql', 'jira']"
Senior Python Developer,Devsinc,Lahore,Punjab,Pakistan,4/9/2024,"['python', 'flask', 'django', 'postgresql', 'css', 'mysql', 'html', 'javascript']"
.NET Developer,NorthBay Solutions,Lahore,Punjab,Pakistan,3/10/2024,[]
Software Developer,Contour Software,Lahore,Punjab,Pakistan,5/1/2024,"['html', 'css', 'sql', 'javascript']"
Frontend Developer - AngularJS,HR POD - Hiring Talent Globally,Lahore,Punjab,Pakistan,4/8/2024,"['css', 'jquery', 'javascript', 'sass']"
Software Quality Assurance Engineer (SQA),INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,1/4/2024,['sql']
Software Engineer,Giant Group,Lahore,Punjab,Pakistan,4/30/2024,"['azure', 'sql', 'javascript']"
Full Stack Engineer,Arbisoft,Lahore,Punjab,Pakistan,4/26/2024,"['mysql', 'mongodb', 'vue.js', 'react', 'javascript']"
Internship - Software Test Engineer,Howmuch,Lahore,Punjab,Pakistan,5/11/2023,[]
Associate Software Engineer - SDIM,i2c Inc.,Lahore,Punjab,Pakistan,3/30/2023,[]
Software Engineer (Java/Spring Boot),HR Ways - Hiring Tech Talent,Lahore,Punjab,Pakistan,4/16/2024,"['html', 'css', 'javascript']"
Software Test Engineer,PakWheels.com,Lahore,Punjab,Pakistan,3/19/2024,"['python', 'firebase', 'sql']"
Software Engineer - PHP,ibex,Lahore,Punjab,Pakistan,3/11/2024,['laravel']
Software Engineer (.Net Core),the ENTERTAINER,Lahore,Punjab,Pakistan,1/26/2024,['azure']
Software Engineer - PHP,Creative Chaos,Lahore,Punjab,Pakistan,1/10/2024,"['javascript', 'mysql', 'mongodb']"
Software Engineer (Android),Jeeny,Johar Town,Punjab,Pakistan,4/21/2024,[]
Software Engineer,CureMD,Lahore,Punjab,Pakistan,2/27/2024,[]
"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,Lahore,Punjab,Pakistan,6/21/2023,"['python', 'flask', 'django', 'postgresql', 'css', 'jquery', 'mysql']"
Software Engineer (JAVA),Code District,Lahore,Punjab,Pakistan,3/30/2024,['mysql']
Dot Net Developer,DevExcel,Lahore,Punjab,Pakistan,3/17/2024,['git']
Software Developer,Contour Software,Lahore,Punjab,Pakistan,5/1/2024,"['html', 'css', 'sql', 'javascript']"
Frontend Developer - AngularJS,HR POD - Hiring Talent Globally,Lahore,Punjab,Pakistan,4/8/2024,"['css', 'jquery', 'javascript', 'sass']"
Software Quality Assurance Engineer (SQA),INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,1/4/2024,['sql']
Software Engineer,Giant Group,Lahore,Punjab,Pakistan,4/30/2024,"['azure', 'sql', 'javascript']"
Full Stack Engineer,Arbisoft,Lahore,Punjab,Pakistan,4/26/2024,"['mysql', 'mongodb', 'vue.js', 'react', 'javascript']"
Internship - Software Test Engineer,Howmuch,Lahore,Punjab,Pakistan,5/11/2023,[]
Associate Software Engineer - SDIM,i2c Inc.,Lahore,Punjab,Pakistan,3/30/2023,[]
Software Engineer II - Backend,Careem,Lahore,Punjab,Pakistan,3/11/2024,['sql']
AI Engineer,NorthBay Solutions,Lahore,Punjab,Pakistan,4/14/2024,"['python', 'tensorflow', 'ai', 'pytorch', 'nlp']"
Java Developer,CureMD,Lahore,Punjab,Pakistan,4/4/2024,"['css', 'git', 'mysql', 'sql', 'react', 'html', 'javascript']"
Software Engineer Angular (H331-01),People (Professional Employers Pvt Ltd),Lahore,Punjab,Pakistan,4/30/2024,[]
PHP Developer,DevExcel,Lahore,Punjab,Pakistan,3/17/2024,['laravel']
Software Engineer (.Net + Azure Logic Apps),Conrad Labs,Lahore,Punjab,Pakistan,5/2/2024,"['git', 'azure', 'jira']"
SQA Engineer,HR Force Int.,Lahore,Punjab,Pakistan,5/10/2024,['python']
Software Engineer - React Native,Creative Chaos,Lahore,Punjab,Pakistan,4/3/2023,"['html', 'css', 'swift', 'jira']"
Embedded Software Engineer - IoT & MQTT Specialist,I.R.E,Lahore,Punjab,Pakistan,4/4/2024,[]
Software Engineer (Angular),CureMD,Lahore,Punjab,Pakistan,3/7/2024,"['html', 'css', 'sql']"
Software Engineer - React Native,Dubizzle Labs,Lahore,Punjab,Pakistan,3/7/2024,"['devops', 'javascript']"
Associate / Software Quality Engineer - Automation Helpdesk,i2c Inc.,Lahore,Punjab,Pakistan,11/2/2023,[]
Full Stack Engineer (React-Django),Arbisoft,Lahore,Punjab,Pakistan,4/26/2024,"['aws', 'mysql', 'mongodb', 'docker', 'javascript']"
Machine Learning Engineer,Vartana,Lahore,Punjab,Pakistan,4/18/2024,['pytorch']
Node JS Developer,WebWrite Inc.,Lahore,Punjab,Pakistan,5/10/2024,"['aws', 'azure', 'kubernetes', 'git', 'mysql', 'mongodb', 'vue.js', 'docker', 'node.js', 'react', 'javascript']"
Full Stack Engineer,yieldWerx Semiconductor,Lahore,Punjab,Pakistan,5/8/2024,"['jquery', 'sql', 'bootstrap']"
Android Developer,Dubizzle Labs,Lahore,Punjab,Pakistan,3/27/2024,[]
Data Engineer,ibex. Pakistan,Lahore,Punjab,Pakistan,5/8/2024,"['aws', 'docker', 'kubernetes', 'tableau']"
Solutions Engineer,i2c Inc.,Lahore,Punjab,Pakistan,3/30/2023,['jira']
Senior Software Engineer/.Net+Blazor,Tkxel,Lahore,Punjab,Pakistan,5/8/2024,"['sql', 'postgresql']"
Senior Software Engineer/.Net+Blazor,Tkxel,Lahore,Punjab,Pakistan,5/7/2024,"['sql', 'postgresql']"
Sr. Software Architect,NorthBay Solutions,Lahore,Punjab,Pakistan,5/10/2024,"['sql', 'ai', 'mysql']"
Principal Software Engineer - Java,Creative Chaos,Lahore,Punjab,Pakistan,7/10/2023,"['aws', 'postgresql']"
Principal Software Engineer - Java,Creative Chaos,Lahore,Punjab,Pakistan,4/3/2023,"['aws', 'postgresql']"
Senior Software Engineer,i2c Inc.,Lahore,Punjab,Pakistan,5/2/2024,"['jquery', 'sql']"
Python Developer,Pursue Today,Lahore,Punjab,Pakistan,5/6/2024,"['python', 'flask', 'django', 'git', 'sql']"
DevOps Engineer,Creative Chaos,Lahore,Punjab,Pakistan,6/1/2023,"['devops', 'python', 'azure', 'kubernetes']"
Senior Software Engineer - .NET,ibex,Lahore,Punjab,Pakistan,3/12/2024,"['html', 'jquery', 'javascript', 'postgresql']"
Principal Software Engineer - Node,Creative Chaos,Lahore,Punjab,Pakistan,7/10/2023,"['azure', 'postgresql', 'jira', 'mysql', 'javascript']"
Senior Python Developer,TCP Software,Lahore District,Punjab,Pakistan,5/3/2024,"['python', 'aws', 'django', 'flask']"
QA Automation Engineer,Integriti,Lahore,Punjab,Pakistan,4/16/2024,[]
Principal Software Engineer - Node,Creative Chaos,Lahore,Punjab,Pakistan,7/10/2023,"['azure', 'postgresql', 'jira', 'mysql', 'javascript']"
Senior Software Engineer - (Node+React),Creative Chaos,Lahore,Punjab,Pakistan,4/3/2023,"['postgresql', 'jira', 'mysql', 'react', 'html', 'javascript']"
Java Web Developer,Code Graphers,Lahore,Punjab,Pakistan,5/8/2024,"['docker', 'sql', 'javascript']"
"Java Software Developer, IgniteTech (Remote) - $60,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,"['python', 'ai']"
Principal Software Engineer - Node,Creative Chaos,Lahore,Punjab,Pakistan,6/5/2023,"['jira', 'javascript', 'mysql', 'postgresql']"
QA Automation Engineer,HR POD - Hiring Talent Globally,Lahore,Punjab,Pakistan,3/16/2024,[]
SQL Database(Software Configuration & Customization),CodeNinja Inc.,Lahore,Punjab,Pakistan,4/29/2024,"['devops', 'azure', 'sql']"
"Back End Developer, Skyvera (Remote) - $60,000/year USD",Crossover,Lahore,Punjab,Pakistan,5/10/2024,['ai']
Devops Engineer,INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,4/19/2024,"['python', 'azure', 'docker', 'devops', 'kubernetes']"
Responsible AI Trainee Engineer,CureMD,Lahore,Punjab,Pakistan,4/23/2024,[]
Trainee Bubble Developer,Taraki,Lahore,Punjab,Pakistan,3/4/2024,"['html', 'javascript']"
Senior Software Engineer - PHP,Creative Chaos,Lahore,Punjab,Pakistan,9/28/2023,"['jquery', 'jira', 'javascript']"
Senior Full Stack Developer,Avanceon Middle East & South Asia,Lahore,Punjab,Pakistan,11/6/2023,"['javascript', 'ai', 'react', 'bootstrap']"
WordPress Developer (C-102476),Cloudelligent,Lahore,Punjab,Pakistan,5/9/2024,"['aws', 'css', 'git', 'sql', 'node.js', 'html', 'javascript']"
